Dcc, 10:55:02,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:02,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:02,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:02,039 	 DEBUG 	 AC 4: added token -> available tokens: 25 		
Dcc, 10:55:02,039 	 DEBUG 	 AC 6: added token -> available tokens: 25 		
Dcc, 10:55:02,039 	 DEBUG 	 AC 0: added token -> available tokens: 25 		
Dcc, 10:55:02,039 	 DEBUG 	 AC 1: added token -> available tokens: 25 		
Dcc, 10:55:03,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:03,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:03,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:03,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:04,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:04,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:04,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:04,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:04,039 	 DEBUG 	 AC 4: added token -> available tokens: 25 		
Dcc, 10:55:04,040 	 DEBUG 	 AC 6: added token -> available tokens: 25 		
Dcc, 10:55:04,040 	 DEBUG 	 AC 0: added token -> available tokens: 25 		
Dcc, 10:55:04,040 	 DEBUG 	 AC 1: added token -> available tokens: 25 		
Dcc, 10:55:05,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:05,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:05,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:05,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:06,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:06,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:06,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:06,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:06,039 	 DEBUG 	 AC 4: added token -> available tokens: 25 		
Dcc, 10:55:06,039 	 DEBUG 	 AC 6: added token -> available tokens: 25 		
Dcc, 10:55:06,039 	 DEBUG 	 AC 0: added token -> available tokens: 25 		
Dcc, 10:55:06,039 	 DEBUG 	 AC 1: added token -> available tokens: 25 		
Dcc, 10:55:07,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:07,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:07,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:07,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:08,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:55:08,039 	 DEBUG 	 dccInfo sent 		
